Date,Close/Last,Volume,Open,High,Low
12/19/2023,$155.08,1018655,$155.08,$155.515,$151.00
12/18/2023,$154.90,933339,$154.48,$155.13,$153.645
12/15/2023,$153.50,1251227,$154.40,$154.77,$153.20
12/14/2023,$156.01,1090317,$156.68,$157.15,$155.1304
12/13/2023,$159.77,859836,$158.48,$159.84,$157.44
12/12/2023,$158.26,736404,$157.79,$159.18,$157.79
12/11/2023,$159.13,1078737,$156.51,$159.18,$156.51
12/08/2023,$160.16,685374,$158.35,$160.225,$158.24
12/07/2023,$159.34,634988,$158.58,$159.47,$158.29
12/06/2023,$158.10,588937,$159.83,$159.94,$158.06
12/05/2023,$159.36,566875,$158.46,$159.435,$158.26
12/04/2023,$159.27,670275,$158.77,$159.495,$157.90
12/01/2023,$160.09,810864,$158.39,$160.355,$158.15
11/30/2023,$159.12,920360,$159.15,$159.37,$157.97
11/29/2023,$158.63,584604,$158.28,$159.08,$158.05
11/28/2023,$156.30,583906,$155.50,$156.72,$155.37
11/27/2023,$154.94,719879,$154.56,$155.31,$154.44
11/24/2023,$154.19,276083,$154.27,$154.53,$153.90
11/22/2023,$153.16,1184061,$154.31,$154.48,$153.015
11/21/2023,$152.50,697833,$153.10,$153.56,$152.23
11/20/2023,$153.30,750709,$152.54,$153.48,$152.48
11/17/2023,$149.95,439884,$149.30,$150.09,$148.94
11/16/2023,$148.59,835407,$148.68,$149.66,$148.10
11/15/2023,$148.52,902614,$148.16,$149.14,$147.60
11/14/2023,$147.66,693703,$148.09,$148.25,$146.985
11/13/2023,$145.03,400151,$143.90,$145.10,$143.715
11/10/2023,$145.10,609307,$143.31,$145.15,$143.01
11/09/2023,$142.45,711535,$143.05,$144.315,$142.3901
11/08/2023,$142.17,662750,$141.71,$142.64,$141.71
11/07/2023,$140.66,461671,$140.09,$141.465,$139.76
11/06/2023,$138.55,488777,$138.44,$138.785,$137.77
11/03/2023,$138.98,764866,$138.74,$139.44,$138.14
11/02/2023,$138.58,711956,$138.87,$139.18,$137.98
11/01/2023,$136.08,618093,$134.24,$136.09,$134.18
10/31/2023,$134.00,758458,$133.84,$134.42,$133.46
10/30/2023,$133.65,878446,$132.77,$134.09,$132.33
10/27/2023,$131.39,690357,$132.57,$132.96,$131.0295
10/26/2023,$131.22,1082876,$131.95,$132.43,$130.63
10/25/2023,$130.71,840729,$132.49,$132.89,$130.675
10/24/2023,$133.67,675732,$132.97,$133.825,$132.59
10/23/2023,$132.20,732618,$131.15,$132.83,$130.08
10/20/2023,$130.70,1355983,$132.67,$132.99,$130.65
10/19/2023,$133.38,2078630,$134.42,$135.80,$133.14
10/18/2023,$127.61,1782942,$128.23,$129.12,$127.30
10/17/2023,$130.49,1112757,$128.80,$131.03,$128.43
10/16/2023,$130.70,1988372,$129.30,$130.87,$128.98
10/13/2023,$128.79,1352403,$130.70,$130.80,$127.80
10/12/2023,$131.66,1034043,$132.54,$133.18,$131.27
10/11/2023,$132.39,995189,$131.70,$132.57,$131.47
10/10/2023,$131.20,1052627,$131.03,$131.77,$130.57
10/09/2023,$129.91,1507585,$129.00,$129.94,$128.405
10/06/2023,$130.92,1055081,$128.73,$131.47,$128.15
10/05/2023,$129.56,816883,$128.83,$129.59,$128.105
10/04/2023,$128.93,529075,$128.75,$129.44,$127.49
10/03/2023,$127.94,654809,$128.38,$128.83,$127.3392
10/02/2023,$128.56,651488,$129.24,$129.59,$127.84
09/29/2023,$129.32,855284,$131.12,$131.23,$128.89
09/28/2023,$127.95,1486248,$127.20,$128.8394,$126.745
09/27/2023,$127.68,739759,$128.27,$128.51,$126.8701
09/26/2023,$127.18,1159910,$128.86,$129.84,$126.93
09/25/2023,$131.95,576044,$131.70,$132.14,$131.22
09/22/2023,$132.65,746636,$132.26,$133.49,$131.99
09/21/2023,$131.16,1481789,$132.94,$133.46,$131.06
09/20/2023,$133.53,632088,$134.39,$135.05,$133.53
09/19/2023,$134.70,652379,$134.52,$135.115,$133.94
09/18/2023,$135.24,536232,$134.42,$135.69,$134.42
09/15/2023,$135.24,770390,$135.75,$136.245,$135.015
09/14/2023,$135.99,785287,$135.63,$136.27,$135.02
09/13/2023,$135.75,590420,$135.60,$136.26,$134.93
09/12/2023,$135.25,975471,$135.15,$136.30,$135.02
09/11/2023,$139.17,678610,$139.12,$139.23,$138.025
09/08/2023,$140.46,574281,$140.29,$141.38,$140.29
09/07/2023,$139.95,623916,$139.34,$140.10,$138.81
09/06/2023,$138.74,550031,$138.29,$138.80,$137.65
09/05/2023,$137.67,443320,$137.81,$138.13,$137.13
09/01/2023,$138.19,533706,$140.52,$140.62,$137.86
08/31/2023,$139.69,557197,$140.69,$141.34,$139.48
08/30/2023,$140.64,374348,$140.18,$141.175,$140.18
08/29/2023,$140.05,403149,$137.55,$140.14,$137.55
08/28/2023,$138.34,556656,$137.94,$138.72,$137.56
08/25/2023,$137.46,793345,$136.91,$137.98,$135.39
08/24/2023,$135.58,837029,$138.82,$138.86,$135.46
08/23/2023,$140.14,680738,$138.48,$140.55,$138.48
08/22/2023,$138.47,629663,$138.84,$138.98,$138.025
08/21/2023,$136.71,563000,$136.09,$136.96,$135.52
08/18/2023,$135.36,1050759,$133.98,$135.66,$133.64
08/17/2023,$134.34,1063334,$136.48,$136.69,$134.14
08/16/2023,$137.42,710845,$138.32,$139.0901,$137.34
08/15/2023,$137.69,808632,$138.08,$138.60,$137.41
08/14/2023,$138.95,662762,$137.77,$139.00,$137.57
08/11/2023,$137.65,1340085,$136.97,$137.73,$136.57
08/10/2023,$137.89,1222269,$137.97,$139.51,$137.55
08/09/2023,$135.52,1402884,$134.74,$136.22,$134.55
08/08/2023,$134.63,1218575,$133.55,$134.80,$133.18
08/07/2023,$135.80,594809,$135.52,$135.87,$134.47
08/04/2023,$132.96,645586,$133.05,$134.51,$132.51
08/03/2023,$132.20,463370,$132.21,$132.78,$131.91
08/02/2023,$133.21,829516,$135.17,$135.18,$132.79
08/01/2023,$136.39,807374,$136.32,$136.69,$135.72
07/31/2023,$136.35,828453,$137.27,$137.70,$136.30
07/28/2023,$136.81,1022934,$135.83,$136.84,$135.40
07/27/2023,$134.07,909771,$135.44,$136.26,$133.98
07/26/2023,$132.34,840972,$131.45,$132.59,$131.11
07/25/2023,$132.61,996821,$132.11,$133.02,$131.83
07/24/2023,$132.39,1096518,$133.52,$133.555,$132.23
07/21/2023,$134.02,1909536,$135.75,$136.135,$133.82
07/20/2023,$133.93,2770070,$140.86,$141.51,$133.04
07/19/2023,$143.00,1121170,$143.63,$144.3392,$142.3825
07/18/2023,$144.91,927982,$144.38,$145.00,$143.25
07/17/2023,$144.99,1143055,$142.86,$145.10,$142.7705
07/14/2023,$144.35,762763,$144.04,$144.90,$144.04
07/13/2023,$143.96,1576377,$142.40,$144.16,$142.34
07/12/2023,$140.58,1524836,$138.69,$140.79,$138.08
07/11/2023,$136.32,1114189,$135.29,$136.44,$134.91
07/10/2023,$134.88,1067629,$133.39,$135.04,$133.37
07/07/2023,$133.26,1029284,$132.77,$134.00,$132.60
07/06/2023,$132.43,817501,$132.83,$132.92,$131.49
07/05/2023,$134.40,1265067,$133.70,$134.48,$133.47
07/03/2023,$134.55,612203,$135.67,$135.89,$133.86
06/30/2023,$136.81,1073351,$135.46,$137.15,$135.3201
06/29/2023,$134.43,454369,$134.30,$134.43,$133.54
06/28/2023,$134.27,679732,$133.75,$134.97,$133.70
06/27/2023,$133.01,682642,$132.49,$133.20,$132.01
06/26/2023,$132.43,474182,$133.10,$133.209,$132.25
06/23/2023,$133.47,477891,$133.70,$134.12,$133.275
06/22/2023,$135.11,697718,$134.38,$135.42,$134.30
06/21/2023,$134.79,824534,$135.57,$135.68,$134.38
06/20/2023,$136.01,686248,$136.06,$136.8307,$135.48
06/16/2023,$137.28,983348,$139.045,$139.25,$137.19
06/15/2023,$137.04,688508,$134.92,$137.06,$134.62
06/14/2023,$135.56,505925,$134.64,$136.36,$134.47
06/13/2023,$135.29,766587,$134.66,$135.84,$134.03
06/12/2023,$133.77,1084361,$131.96,$133.94,$131.74
06/09/2023,$132.72,499275,$132.95,$133.60,$132.05
06/08/2023,$133.21,417128,$132.01,$133.29,$131.96
06/07/2023,$131.70,805188,$132.75,$133.26,$131.48
06/06/2023,$131.84,551921,$132.16,$132.24,$131.52
06/05/2023,$131.50,515140,$132.30,$132.33,$131.26
06/02/2023,$132.97,532516,$133.26,$133.53,$132.51
06/01/2023,$132.17,783437,$131.15,$132.37,$130.62
05/31/2023,$130.44,1324959,$130.48,$130.87,$129.15
05/30/2023,$130.24,729130,$131.91,$132.07,$130.12
05/26/2023,$131.41,832101,$130.13,$131.63,$130.04
05/25/2023,$129.44,1352206,$129.80,$129.825,$128.84
05/24/2023,$129.21,717260,$129.63,$129.63,$128.77
05/23/2023,$129.83,1170754,$132.53,$132.81,$129.71
05/22/2023,$133.29,693541,$133.47,$133.93,$133.265
05/19/2023,$134.28,696744,$134.58,$135.12,$134.28
05/18/2023,$133.90,954724,$133.40,$134.15,$133.11
05/17/2023,$132.62,995657,$133.40,$133.58,$131.64
05/16/2023,$133.16,2325289,$131.32,$133.89,$131.21
05/15/2023,$131.30,1864721,$130.36,$134.05,$130.10
05/12/2023,$131.58,655466,$131.79,$132.0166,$131.29
05/11/2023,$133.69,756944,$134.07,$134.13,$132.81
05/10/2023,$134.83,733645,$134.84,$135.41,$133.85
05/09/2023,$134.68,674757,$133.96,$135.1018,$133.84
05/08/2023,$135.78,718470,$136.06,$136.20,$135.22
05/05/2023,$134.76,623760,$134.13,$135.00,$134.00
05/04/2023,$134.09,692458,$133.86,$134.64,$133.435
05/03/2023,$135.78,1414814,$136.08,$137.32,$135.28
05/02/2023,$134.36,867613,$133.61,$134.50,$133.49
05/01/2023,$134.48,467224,$135.57,$135.57,$134.44
04/28/2023,$135.27,746813,$135.34,$135.71,$134.83
04/27/2023,$136.65,967528,$135.79,$136.85,$135.01
04/26/2023,$133.35,1346549,$135.61,$135.61,$133.12
04/25/2023,$133.43,1427161,$134.46,$135.67,$133.41
04/24/2023,$132.54,1406605,$132.89,$133.74,$131.9213
04/21/2023,$133.95,2742855,$132.13,$134.64,$131.80
04/20/2023,$126.86,1512413,$126.93,$127.72,$126.40
04/19/2023,$127.30,1512202,$127.67,$127.77,$127.06
04/18/2023,$127.64,1417059,$128.13,$128.30,$127.35
04/17/2023,$127.20,1387851,$127.75,$127.95,$126.67
04/14/2023,$127.42,980031,$127.72,$128.17,$126.70
04/13/2023,$128.05,1132137,$127.06,$128.49,$127.06
04/12/2023,$127.11,1318428,$127.59,$128.115,$126.79
04/11/2023,$126.54,1146772,$126.69,$127.05,$126.345
04/10/2023,$127.45,604419,$127.60,$127.60,$125.80
04/06/2023,$128.71,989476,$128.00,$128.88,$127.20
04/05/2023,$126.74,665587,$128.01,$128.23,$126.28
04/04/2023,$127.81,788170,$126.95,$127.86,$126.91
04/03/2023,$126.32,876270,$126.18,$126.425,$125.57
03/31/2023,$126.55,668203,$125.84,$126.77,$125.73
03/30/2023,$126.07,745979,$125.51,$126.07,$125.11
03/29/2023,$124.32,915953,$123.58,$124.56,$123.54
03/28/2023,$123.47,631351,$123.55,$123.65,$122.74
03/27/2023,$123.25,571071,$123.85,$124.3899,$122.9875
03/24/2023,$123.29,907143,$123.11,$123.54,$122.03
03/23/2023,$123.74,599534,$124.04,$125.28,$123.05
03/22/2023,$122.24,480554,$122.82,$124.47,$122.22
03/21/2023,$123.48,594223,$122.43,$123.61,$122.12
03/20/2023,$121.38,771660,$121.34,$121.48,$120.52
03/17/2023,$119.22,1040263,$119.07,$120.22,$118.09
03/16/2023,$120.30,1054054,$116.38,$120.40,$116.21
03/15/2023,$115.60,1111311,$114.34,$115.70,$113.70
03/14/2023,$118.12,861994,$118.07,$118.49,$117.15
03/13/2023,$115.03,1144659,$114.31,$115.81,$113.64
03/10/2023,$115.46,1005261,$117.97,$118.015,$115.23
03/09/2023,$115.99,691873,$117.40,$118.50,$115.95
03/08/2023,$117.41,730066,$116.72,$117.55,$116.20
03/07/2023,$116.89,469634,$118.86,$118.94,$116.60
03/06/2023,$119.73,953744,$119.50,$120.21,$119.04
03/03/2023,$116.90,694527,$115.86,$116.965,$115.78
03/02/2023,$114.53,664916,$113.05,$114.6425,$113.00
03/01/2023,$114.23,848854,$115.12,$115.12,$113.40
02/28/2023,$113.82,693494,$114.07,$114.84,$113.76
02/27/2023,$115.13,579932,$115.18,$115.54,$114.74
02/24/2023,$113.18,991723,$113.96,$114.36,$112.57
02/23/2023,$116.01,784533,$116.31,$116.77,$114.86
02/22/2023,$115.26,510583,$115.53,$115.89,$114.79
02/21/2023,$114.78,867009,$115.16,$115.76,$114.72
02/17/2023,$117.35,411030,$116.51,$117.44,$116.1728
02/16/2023,$117.96,505005,$117.58,$118.62,$117.12
02/15/2023,$119.27,669453,$117.80,$119.31,$117.73
