新课程序号,课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
CME361103,04057103,流体力学与液压气动课程设计,1,,李梦如,16111,,实践环节课程,英语,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(机械设计制造及其自动化 04034),2025(机械设计制造及其自动化(二学位) 04068)",38,13,16,李梦如(16111) 星期四5-8节 [13-16] 安楼A309
CME361101,04057101,流体力学与液压气动课程设计,1,,訚耀保,05197,,实践环节课程,中文,嘉定校区,"2023(机械设计制造及其自动化 04034),2025(机械设计制造及其自动化(二学位) 04068)",19,13,16,訚耀保(05197) 星期四5-8节 [13-16] 博楼B210
CME330501,04057501,智能技术数学基础,2,,"唐堂,李晓田","15173,16031",",",专业基础课,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2024(智能制造工程 04009),2025(智能制造工程(二学位) 04069)",83,1,16,李晓田(16031) 星期三1-2节 [9-16] 安楼A323 唐堂(15173) 星期三1-2节 [1-8] 安楼A323
CME340701,04057901,制造系统的感知与决策,2,,王昆,07203,,专业必修课,中文,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",53,1,16,王昆(07203) 星期一9-10节 [1-16] 安楼A107
CME340801,04058001,生产系统智能化技术,3,,余春龙,21031,,专业必修课,中文,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",54,1,16,余春龙(21031) 星期三3-4节 [1-16] 安楼A110 余春龙(21031) 星期五1-2节 [2-16双] 安楼A110
CME351701,04058101,知识工程及应用,2,,伍光宇,25052,预聘副教授,专业必修课,中文,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",53,1,16,伍光宇(25052) 星期四1-2节 [1-16] 博楼B114
CME340901,04058201,精密传动与智能设计,2,,李晓田,16031,,专业必修课,中文,嘉定校区,"2023(智能制造工程 04009),2025(智能制造工程(二学位) 04069)",53,1,16,李晓田(16031) 星期四5-6节 [1-16] 博楼B310
CME351801,04058401,智能制造装备,3,,Christopher Ehrmann,21163,,专业必修课,英语,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",0,1,16,Christopher Ehrmann(21163) 星期三2-4节 [1-16] 诚楼C412
CME351803,04058403,智能制造装备,3,,张剑,07036,,专业必修课,中文,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",50,1,16,张剑(07036) 星期五9-11节 [1-16] 安楼A105
CME351901,04058501,系统建模与仿真,2,,张新艳,02117,,专业选修课,中文,嘉定校区,2023(智能制造工程 04009),52,1,8,张新艳(02117) 星期一5-8节 [1-8] 博楼B211
,04060801,工业化构件制造技术,2,,赵清理,98786,,专业选修课,中文,四平路校区,"2023(智能建造 03005),2023(土木工程(精英班) 09042)",0,1,16,赵清理(98786) 星期日1-2节 [1-16] 不排教室
CME341301,04060901,智能建造技术与装备,2,,简小刚,06117,,专业必修课,中文,四平路校区,"2023(智能建造 03005),2025(智能建造(二学位) 03069)",37,1,16,简小刚(06117) 星期五3-4节 [1-16] 南222
CME364301,04061001,建造机器人实验,1,,于睿坤,08030,工程师,实践环节课程,中文,四平路校区,2023(智能建造 03005),37,10,16,于睿坤(08030) 星期三5-8节 [10-16双] 嘉定校区致臻楼101
CME120201,04061801,机械制图2,3,,徐东东,21037,,公共基础课,中文,四平路校区,"2024(材料科学与工程(精英班) 09009),2024(机械设计制造及其自动化(精英班) 09026),2025(工科试验班(智能化制造与新能源类) 04074)",110,1,16,徐东东(21037) 星期一7-8节 [1-15单] 衷和楼203 徐东东(21037) 星期二3-4节 [1-16] 衷和楼203
CME120203,04061803,机械制图2,3,,李梦如,16111,,公共基础课,中文,四平路校区,"2025(中德机械与能源工程(创新实验区) 04004),2025(能源与动力工程(应用化学双学士学位) 04065),2025(商用大飞机校企联合人才培养创新模式实验班 45003),2025(创新设计人才培养实验区 55003),2025(工科试验班(智能化制造与新能源类) 55004)",100,1,16,李梦如(16111) 星期五9-11节 [1-16] 南313
CME120202,04061802,机械制图2,3,,吴战国,90425,,公共基础课,中文,四平路校区,"2025(工科试验班(智能化制造与新能源类) 04074),2025(工科试验班(智能化制造与新能源类) 08019),2025(工科试验班(智能化制造与新能源类) 45096)",52,1,16,吴战国(90425) 星期一3-4节 [1-16] 衷和楼203 吴战国(90425) 星期三7-8节 [1-15单] 衷和楼203
CME354501,04062401,能源系统自动化,3,,"邵亮亮,李铮伟","13099,13165",",",专业选修课,中文,嘉定校区,"2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",30,1,16,李铮伟(13165) 星期一1-2节 [10-16双] 安楼A108 邵亮亮(13099) 星期一1-2节 [2-8双] 安楼A108 邵亮亮(13099) 星期五3-4节 [1-8] 安楼A108 李铮伟(13165) 星期五3-4节 [9-16] 安楼A108
CME352201,04062801,冷藏链技术,2,,"李芃,曹强","02021,14175",",",专业选修课,中文,嘉定校区,"2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",7,1,16,曹强(14175) 星期二3-4节 [9-16] 博楼B113 李芃(02021) 星期二3-4节 [1-8] 博楼B113
CME361301,04064001,建筑环境与能源应用工程课程设计,3,,"高军,林忠平,刘东","09173,93043,96012",",,",实践环节课程,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),25,1,16,林忠平(93043) 星期一5-6节 [12-16双] 安楼A202 刘东(96012) 星期一5-6节 [2-6双] 安楼A202 高军(09173) 星期一5-6节 [8-10双] 安楼A202 林忠平(93043) 星期三5-6节 [12-16] 安楼A202 高军(09173) 星期三5-6节 [6-11] 安楼A202 刘东(96012) 星期三5-6节 [1-5] 安楼A202
CME361302,04064002,建筑环境与能源应用工程课程设计,3,,"张雪梅,陈志光","13172,14018",",",实践环节课程,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),10,1,16,陈志光(14018) 星期一5-6节 [2-4双 12-16双] 安楼A302 张雪梅(13172) 星期一5-6节 [6-10双] 安楼A302 陈志光(14018) 星期三5-6节 [1-5 11-16] 安楼A302 张雪梅(13172) 星期三5-6节 [6-10] 安楼A302
CME361501,04064201,暖通空调及燃气实验（二）,4,,赵美,16141,,实践环节课程,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),34,1,16,赵美(16141) 星期四5-8节 [1-16] 学院机房
CME000501,04064401,能源互联网和智慧能源,2,,"马国彬,阮应君","04044,08156",",",社会发展与国际视野,中文,四平路校区,,0,1,16,马国彬(04044) 星期一7-8节 [9-16] 北209 阮应君(08156) 星期一7-8节 [1-8] 北209
CME341001,04064601,流体机械A3,1,,袁志成,23509,,专业基础课,英语,嘉定校区,"2024(能源与动力工程 04024),2024(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",57,1,16,袁志成(23509) 星期三5-6节 [2-16双] 博楼B206
CME260201,04065001,机械工程创新设计 （竞教结合课程）,2,,"陈哲,卜王辉,陈茂林,李梦如","12032,12083,16004,16111",",,,",实践环节课程,中文,嘉定校区,"2024(机械设计制造及其自动化 04034),2025(机械设计制造及其自动化(二学位) 04068)",168,1,16,陈茂林(16004) 星期二1-2节 [8-10] 复楼F202 卜王辉(12083) 星期二1-2节 [2 6 12-16双] 复楼F202 李梦如(16111) 星期二1-2节 [1-7单 15] 复楼F202 陈哲(12032) 星期二1-2节 [4 11-13单] 复楼F202
CME260202,04065002,机械工程创新设计 （竞教结合课程）,2,,Christopher Ehrmann,21163,,实践环节课程,中文,嘉定校区,2024(中德机械与能源工程(创新实验区) 04004),18,1,16,Christopher Ehrmann(21163) 星期四3-4节 [1-16] 安楼A407
CME354301,04065101,产品研发方法,2,,"张氢,孙远韬","01136,11107",",",专业选修课,中文,嘉定校区,2023(中德机械与能源工程(创新实验区) 04004),20,1,16,孙远韬(11107) 星期五7-8节 [1-8] 张氢(01136) 星期五7-8节 [9-16]
CME361803,04065403,智能制造竞赛,4,,王亮,15160,,实践环节课程,中文,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",2,1,16,王亮(15160) 星期三5-8节 [1-16] 致臻楼106
CME361802,04065402,智能制造竞赛,4,,唐堂,15173,,实践环节课程,中文,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",20,1,16,唐堂(15173) 星期三5-8节 [1-16] 致臻楼105
CME361801,04065401,智能制造竞赛,4,,于颖,06050,,实践环节课程,中文,嘉定校区,"2023(智能制造工程 04009),2023(智能制造工程(精英班) 09028),2025(智能制造工程(二学位) 04069)",8,1,16,于颖(06050) 星期三5-8节 [1-16] 致臻楼107
CME370602,04065602,智能工厂设计与规划,2,,赵清理,98786,,个性化课程,中文,嘉定校区,2023(工程力学(强基计划) 09001),0,1,16,赵清理(98786) 星期日7-8节 [1-16] 不排教室
CME370601,04065601,智能工厂设计与规划,2,,余建波,13163,,专业选修课,中文,四平路校区,"2023(应用化学(强基计划) 09002),2023(生物技术(强基计划) 09003),2023(数学与应用数学(强基计划) 09004),2023(应用物理学(强基计划) 09005)",0,1,8,余建波(13163) 星期一5-8节 [1-8] 北105
CME354403,04065703,虚拟现实与人机交互,2,,杨濛,23008,,专业选修课,中文,四平路校区,"2023(应用化学(强基计划) 09002),2023(生物技术(强基计划) 09003),2023(数学与应用数学(强基计划) 09004),2023(应用物理学(强基计划) 09005)",1,1,16,杨濛(23008) 星期一3-4节 [1-16] 南112
CME354402,04065702,虚拟现实与人机交互,2,,赵清理,98786,,个性化课程,中文,嘉定校区,2023(工程力学(强基计划) 09001),0,1,16,赵清理(98786) 星期六1-2节 [1-16] 不排教室
CME000702,040k0702,新能源利用技术,2,,俞海淼,05090,,工程能力与创新思维,中文,嘉定校区,,16,1,16,俞海淼(05090) 星期五9-10节 [1-16] 博楼B312
CME000701,040k0701,新能源利用技术,2,,阮应君,08156,,工程能力与创新思维,中文,四平路校区,,1,1,16,阮应君(08156) 星期一9-10节 [1-16] 北209
CME352401,04103001,机械制造工艺学,2,,简小刚,06117,,专业选修课,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(机械设计制造及其自动化 04034)",60,1,16,简小刚(06117) 星期三9-10节 [1-16] 复楼F202
CME230601,04106001,机械原理,3,,姜涛,06073,,专业基础课,中文,嘉定校区,2024(中德机械与能源工程(创新实验区) 04004),17,1,16,姜涛(06073) 星期二3-4节 [1-15单] 安楼A202 姜涛(06073) 星期四5-6节 [1-16] 安楼A202
CME260301,04106101,机械原理课程设计,1,,卜王辉,12083,,实践环节,中文,嘉定校区,"2023(车辆工程(精英班五年制) 09041),2024(中德机械与能源工程(创新实验区) 04004),2024(机械设计制造及其自动化 04034),2025(机械设计制造及其自动化(二学位) 04068)",189,1,16,卜王辉(12083) 星期二3-4节 [2-16双] 复楼F204
CME330703,04106403,机械设计基础,4,,杨玉娟,11097,,专业基础课,中文,嘉定校区,"2024(车辆工程 43002),2024(商用大飞机校企联合人才培养创新模式实验班 45003)",23,1,16,杨玉娟(11097) 星期一9-10节 [1-16] 安楼A214 杨玉娟(11097) 星期五9-10节 [1-16] 安楼A214
CME330702,04106402,机械设计基础,4,,王亮,15160,,专业基础课,中文,嘉定校区,"2024(智能制造工程 04009),2024(飞行器制造工程 45024),2025(智能制造工程(二学位) 04069)",69,1,16,王亮(15160) 星期一5-6节 [1-16] 安楼A216 王亮(15160) 星期五3-4节 [1-16] 安楼A216
CME330701,04106401,机械设计基础,4,,陈茂林,16004,,专业基础课,中文,四平路校区,"2024(智能建造 03005),2024(智能制造工程(精英班) 09028),2024(车辆工程(汽车精英班) 09048),2024(未来技术班(机器人) 09051),2025(智能建造(二学位) 03069)",77,1,16,陈茂林(16004) 星期一3-4节 [1-16] 南313 陈茂林(16004) 星期三3-4节 [1-16] 南313
CME330704,04106404,机械设计基础,4,,杨玉娟,11097,,专业基础课,中文,嘉定校区,"2024(车辆工程 43002),2024(商用大飞机校企联合人才培养创新模式实验班 45003)",58,1,16,杨玉娟(11097) 星期一5-6节 [1-16] 安楼A214 杨玉娟(11097) 星期五1-2节 [1-16] 安楼A214
CME260401,04125101,机械设计课程设计,6,,孙凤振,22510,,实践环节课程,英语,嘉定校区,2023(中德机械与能源工程(创新实验区) 04004),30,9,16,孙凤振(22510) 星期一5-8节 [9-16] 安楼A407
CME362009,04125809,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,2023(车辆工程(汽车) 19025),40,1,16,李梦如(16111) 星期一7-8节 [2-16双] 致臻楼205
CME362008,04125808,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,2023(车辆工程(汽车) 19025),35,1,16,李梦如(16111) 星期一7-8节 [1-15单] 致臻楼205
CME362007,04125807,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,2024(机械设计制造及其自动化 04034),28,1,16,李梦如(16111) 星期一5-6节 [2-16双] 致臻楼205
CME362006,04125806,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,2024(机械设计制造及其自动化 04034),20,1,16,李梦如(16111) 星期一5-6节 [1-15单] 致臻楼205
CME362002,04125802,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,2024(机械设计制造及其自动化 04034),26,1,16,李梦如(16111) 星期三5-6节 [2-16双] 致臻楼205
CME362005,04125805,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,2023(车辆工程(汽车) 19025),9,1,16,李梦如(16111) 星期三9-10节 [1-15单] 致臻楼205
CME362001,04125801,机械基础实验(下),1,,李梦如,16111,,实践环节,中文,嘉定校区,2023(中德机械与能源工程(创新实验区) 04004),15,1,16,李梦如(16111) 星期三5-6节 [1-15单] 致臻楼205
CME362004,04125804,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,2024(机械设计制造及其自动化 04034),31,1,16,李梦如(16111) 星期三7-8节 [2-16双] 致臻楼205
CME362003,04125803,机械基础实验(下),1,,李梦如,16111,,实践环节课程,中文,嘉定校区,"2023(车辆工程(精英班五年制) 09041),2023(车辆工程(汽车) 19025),2024(机械设计制造及其自动化 04034),2025(机械设计制造及其自动化(二学位) 04068)",40,1,16,李梦如(16111) 星期三7-8节 [1-15单] 致臻楼205
CME230803,04210003,传热学,4,,孟华,93524,,专业基础课,中文,嘉定校区,"2024(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",16,1,16,孟华(93524) 星期一5-6节 [1-16] 博楼B113 孟华(93524) 星期四7-8节 [1-16] 博楼B113
CME230802,04210002,传热学,4,,冯昱恒,14213,,专业基础课,英语,嘉定校区,2024(能源与动力工程 04024),5,1,16,冯昱恒(14213) 星期四5-8节 [1-16] 博楼B202
CME230801,04210001,传热学,4,,孟华,93524,,专业基础课,中文,嘉定校区,2024(能源与动力工程 04024),25,1,16,孟华(93524) 星期一3-4节 [1-16] 诚楼C404 孟华(93524) 星期四5-6节 [1-16] 诚楼C404
CME352801,04237701,燃气燃烧应用,3,,秦朝葵,96004,,专业选修课,中文,嘉定校区,2023(建筑环境与能源应用工程 04014),6,1,16,秦朝葵(96004) 星期一5-6节 [1-15单] 安楼A107 秦朝葵(96004) 星期四3-4节 [1-16] 安楼A107
CME250101,5000170000201,能源与动力系统数学建模与求解,2,,尹丽洁,12069,,专业选修课,中文,嘉定校区,"2024(中德机械与能源工程(创新实验区) 04004),2024(能源与动力工程 04024),2024(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",57,1,16,尹丽洁(12069) 星期五1-2节 [1-16] 博楼B212
CME352901,5000170000301,能源管理基础,2,,马国彬,04044,,专业选修课,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",64,1,16,马国彬(04044) 星期二1-2节 [1-16] 安楼A214
CME341201,5000170000401,高效换热原理与设备,3,,"曹强,陈德珍","14175,97055",",",专业必修课,中文,嘉定校区,"2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065)",63,1,16,曹强(14175) 星期一1-2节 [13-15单] 博楼B312 陈德珍(97055) 星期一1-2节 [1-11单] 博楼B312 陈德珍(97055) 星期五1-2节 [1-10] 博楼B312 曹强(14175) 星期五1-2节 [11-16] 博楼B312
CME353101,5000170000601,储能科学基础,2,,钱柯贞,18138,,专业选修课,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",35,1,16,钱柯贞(18138) 星期四1-2节 [1-16] 安楼A209
CME353301,5000170000901,高效能源动力系统,2,,"季晨振,王学远","20519,23027","null,",专业选修课,中文,嘉定校区,2023(能源与动力工程(应用化学双学士学位) 04065),0,1,16,王学远(23027) 星期四1-2节 [9-16] 博楼B104 季晨振(20519) 星期四1-2节 [1-8] 博楼B104
CME353401,5000170001001,绿色碳源转化技术,2,,胡雨燕,00028,,专业选修课,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",5,1,16,胡雨燕(00028) 星期一3-4节 [1-16] 博楼B101
CME353501,5000170001201,新能源汽车热管理,2,,"王海鹰,曹强","07199,14175",",",专业选修课,中文,嘉定校区,"2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",14,1,16,曹强(14175) 星期一3-4节 [9-16] 博楼B103 王海鹰(07199) 星期一3-4节 [1-8] 博楼B103
CME353701,5000170001401,暖通空调II,2,,"苏醒,叶蔚","13181,17138",",",专业选修课,中文,嘉定校区,"2023(建筑环境与能源应用工程 04014),2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065),2025(能源与动力工程(二学位) 04067)",13,1,16,苏醒(13181) 星期五3-4节 [6-16] 博楼B111 叶蔚(17138) 星期五3-4节 [1-5] 博楼B111
CME362101,5000170001601,能源环境基础课程设计,2,,"吴妍,陈德珍","18004,97055",",",实践环节课程,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065)",63,1,16,吴妍(18004) 星期四3-4节 [1-8] 博楼B206 陈德珍(97055) 星期四3-4节 [9-16] 博楼B206
CME362201,5000170002301,能源动力类实验,2,,臧建彬,98798,,实践环节课程,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(能源与动力工程 04024),2023(能源与动力工程(应用化学双学士学位) 04065)",63,9,16,臧建彬(98798) 星期四5-8节 [9-16] 学院机房
CME230901,5000170002801,传热传质学,4,,"吴妍,明岗","18004,99140",",",专业基础课,中文,嘉定校区,2024(建筑环境与能源应用工程 04014),29,1,16,明岗(99140) 星期一3-4节 [13-16] 安楼A114 吴妍(18004) 星期一3-4节 [1-12] 安楼A114 明岗(99140) 星期四5-6节 [13-16] 安楼A114 吴妍(18004) 星期四5-6节 [1-12] 安楼A114
CME231003,5000170003003,工业大数据分析,2,,唐堂,15173,,专业基础课,中文,嘉定校区,"2023(中德机械与能源工程(创新实验区) 04004),2023(智能制造工程(精英班) 09028),2024(智能制造工程 04009),2025(智能制造工程(二学位) 04069)",72,1,16,唐堂(15173) 星期一3-4节 [1-16] 安楼A316
CME353901,5000170003501,机器视觉理论与应用,2,,符长虹,17139,,专业必修课,中文,嘉定校区,"2023(智能制造工程 04009),2025(智能制造工程(二学位) 04069)",52,1,16,符长虹(17139) 星期一1-2节 [1-16] 博楼B110
CME250201,5000170003601,数据科学与管理决策优化,2,,段春艳,19075,,专业选修课,中文,嘉定校区,"2024(中德机械与能源工程(创新实验区) 04004),2024(智能制造工程 04009)",65,1,8,段春艳(19075) 星期五5-8节 [1-8] 博楼B112
CME000801,5000170003701,温度与人类文明,1,,曹强,14175,,科学探索与生命关怀,中文,嘉定校区,,11,9,16,曹强(14175) 星期一9-10节 [9-16] 安楼A309
,5000170005101,机器人智能感知（初级项目二）,8,,"简冰聪,周鹏","24063,24202","助理教授（长聘体系）,助理教授（长聘体系）",实践环节课程,中文,四平路校区,2024(未来技术班(机器人) 09051),42,1,16,周鹏(24202) 星期三5-8节 [1-10 16] 南216 简冰聪(24063) 星期三5-8节 [11-15] 南216 周鹏(24202) 星期四5-8节 [1-12 16] 南216 简冰聪(24063) 星期四5-8节 [13-15] 南216
CME354001,5000170005401,能源系统仿真技术（专创融合）,2,,赵清理,98786,,专业必修课,中文,嘉定校区,2025(能源与动力工程(二学位) 04067),0,1,16,赵清理(98786) 星期六1-2节 [1-16] 不排教室
CME354101,5000170005501,新能源利用系统及其碳核算,2,,赵清理,98786,,专业选修课,中文,嘉定校区,2025(能源与动力工程(二学位) 04067),0,1,16,赵清理(98786) 星期六3-4节 [1-16] 不排教室
CME362401,5000170005901,建筑环境与能源系统测试技术与设备,4,,赵清理,98786,,实践环节,中文,嘉定校区,2025(能源与动力工程(二学位) 04067),0,1,16,赵清理(98786) 星期六5-8节 [1-16] 不排教室
CME362501,5000170006001,能源环境基础课程设计,2,,赵清理,98786,,实践环节,中文,嘉定校区,2025(能源与动力工程(二学位) 04067),0,1,16,赵清理(98786) 星期四3-4节 [1-16] 不排教室
CME363601,5000170008101,能动类实验,3,,臧建彬,98798,,实践环节,中文,嘉定校区,2025(能源与动力工程(二学位) 04067),1,1,16,臧建彬(98798) 星期五5-7节 [1-16] 学院机房
CCE261901,03002901,水文地质学实验,1,,"刘琦,陈永贵,杨阳","09032,10028,19022",",,高级工程师",实践环节课程,中文,四平路校区,"2024(地质工程 03034),2025(地质工程(二学位) 03066)",22,1,8,"刘琦(09032),陈永贵(10028),杨阳(19022) 星期三9-10节 [1-8] 实验室"
CCE352101,03004401,隧道工程,1,,"李晓军,周舒威","01127,20523",",教授",专业选修课,英语,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2023(土木工程(精英班) 09042),2025(土木工程(二学位) 03068),2025(智能建造(二学位) 03069)",11,1,8,李晓军(01127) 星期三5-6节 [1-4] 南408 周舒威(20523) 星期三5-6节 [5-8] 南408
,03023501,结构力学Ⅱ,2,,吕凤悟,90031,,专业基础课,中文,四平路校区,"2024(土木工程 03014),2024(土木工程(数学与应用数学双学士学位) 03065),2024(土木工程(法学双学士学位) 03067)",25,1,8,吕凤悟(90031) 星期一1-2节 [1-8] 南410 吕凤悟(90031) 星期三3-4节 [1-8] 南410
,03023505,结构力学Ⅱ,2,,Zeeshan Qaiser,22190,,专业基础课,英语,四平路校区,2024(土木工程(国际班) 03074),7,1,8,Zeeshan Qaiser(22190) 星期一1-2节 [1-8] 北310 Zeeshan Qaiser(22190) 星期三3-4节 [1-8] 北310
,03023504,结构力学Ⅱ,2,,丁泉顺,01102,,专业基础课,中文,四平路校区,"2024(土木工程 03014),2024(土木工程(数学与应用数学双学士学位) 03065),2024(土木工程(法学双学士学位) 03067)",2,1,8,丁泉顺(01102) 星期一1-2节 [1-8] 北319 丁泉顺(01102) 星期三3-4节 [1-8] 北319
,03023503,结构力学Ⅱ,2,,孙利民,01129,,专业基础课,中文,四平路校区,"2024(土木工程 03014),2024(土木工程(数学与应用数学双学士学位) 03065),2024(土木工程(法学双学士学位) 03067)",5,1,8,孙利民(01129) 星期一1-2节 [1-8] 北312 孙利民(01129) 星期三3-4节 [1-8] 北312
,03023502,结构力学Ⅱ,2,,陈素文,01028,,专业基础课,中文,四平路校区,"2024(土木工程 03014),2024(土木工程(数学与应用数学双学士学位) 03065),2024(土木工程(法学双学士学位) 03067)",25,1,8,陈素文(01028) 星期一1-2节 [1-8] 北311 陈素文(01028) 星期三3-4节 [1-8] 北311
,03024601,结构安全性设计概论,1,,吴昊,17865,,专业选修课,中文,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2025(土木工程(二学位) 03068)",14,1,8,吴昊(17865) 星期四5-6节 [1-8] 南415
CCE091401,03029301,建设工程法规,2,,肖伟芳,21070,,社会发展与国际视野,中文,四平路校区,,35,1,16,肖伟芳(21070) 星期三7-8节 [1-16] 南221
CCE091402,03029302,建设工程法规,2,,赵志鹏,23033,,社会发展与国际视野,中文,四平路校区,,25,1,16,赵志鹏(23033) 星期四7-8节 [1-16] 南221
,03032301,建筑结构概念设计,1,,陈俊岭,04200,,专业必修课,中文,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2025(土木工程(二学位) 03068)",25,1,8,陈俊岭(04200) 星期三3-4节 [1-8] 南310
,03032302,建筑结构概念设计,1,,相阳,22132,,专业必修课,中文,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2025(土木工程(二学位) 03068)",9,1,8,相阳(22132) 星期三3-4节 [1-8] 北314
,03032501,基坑工程设计与施工,2,,木林隆,12076,,专业必修课,中文,四平路校区,"2023(智能建造 03005),2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2023(土木工程(精英班) 09042),2025(土木工程(二学位) 03068)",17,1,16,木林隆(12076) 星期一7-8节 [1-16] 南417
,03037901,地质工程数值法,1,,黄雨,99131,,专业选修课,中文,四平路校区,"2023(地质工程 03034),2025(地质工程(二学位) 03066)",18,1,8,黄雨(99131) 星期一7-8节 [1-8] 南421
,03039401,桥梁工程,2,,"沈殷,余华","04192,99706",",",个性化课程,中文,嘉定校区,2023(交通工程 15014),2,1,16,沈殷(04192) 星期一5-6节 [1-3 10-16] 诚楼C408A 余华(99706) 星期一5-6节 [4-9] 诚楼C408A
CCE331504,03040104,土木工程施工基本原理,3,,段珍华,16044,,专业基础课,中文,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2025(土木工程(二学位) 03068)",7,1,16,段珍华(16044) 星期一3-4节 [1-16] 南222 段珍华(16044) 星期三1-2节 [2-16双] 南219
CCE331503,03040103,土木工程施工基本原理,3,,强旭红,14132,,专业基础课,中文,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2025(土木工程(二学位) 03068)",17,1,16,强旭红(14132) 星期一3-4节 [1-16] 南205 强旭红(14132) 星期三1-2节 [2-16双] 南205
CCE331502,03040102,土木工程施工基本原理,3,,潘钻峰,13112,,专业基础课,中文,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2025(土木工程(二学位) 03068)",42,1,16,潘钻峰(13112) 星期一3-4节 [1-16] 南217 潘钻峰(13112) 星期三1-2节 [2-16双] 南217
CCE331501,03040101,土木工程施工基本原理,3,,朱大宇,01025,,专业基础课,中文,四平路校区,"2023(土木工程 03014),2023(土木工程(数学与应用数学双学士学位) 03065),2023(土木工程(法学双学士学位) 03067),2025(土木工程(二学位) 03068)",42,1,16,朱大宇(01025) 星期一3-4节 [1-16] 南220 朱大宇(01025) 星期三1-2节 [2-16双] 南220
