新课程序号,课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
CDI240201,55009901,专业设计（2）,4,樊中(讲师),"刘胧,樊中","07061,12049",",",专业必修课,中文,四平路校区,"2024(工业设计(精英班) 09039),2024(车辆工程(创新实验区) 19030),2024(工业设计 55024),2024(产品设计 55054),2024(工业设计(车辆造型实验区) 55092)",35,1,16,"刘胧(07061),樊中(12049) 星期一1-4节 [1-16] IT208"
CDI130201,55011601,设计基础（2）,4,郁新安(讲师),"郁新安,刘洋,张磊","08152,13116,17530",",,",专业基础课,中文,四平路校区,"2025(创新设计人才培养实验区 55003),2025(视觉传达设计(人工智能双学士学位) 55094),2025(艺术设计学 55099)",8,1,16,"郁新安(08152) 星期四1-4节 [9-12] 设创学院暗房报告厅+IS212 郁新安(08152),刘洋(13116) 星期四1-4节 [13-16] 设创学院暗房报告厅+IS212 郁新安(08152),张磊(17530) 星期四1-4节 [1-8] 设创学院暗房报告厅+IS212"
CDI130204,55011604,设计基础（2）,4,任丽莎(副教授),"任丽莎,梁靖,Aldo Cibic","10128,12046,1805239",",,null",专业基础课,中英,四平路校区,"2025(创新设计人才培养实验区 55003),2025(视觉传达设计(人工智能双学士学位) 55094),2025(艺术设计学 55099)",16,1,16,"任丽莎(10128),梁靖(12046),Aldo Cibic(1805239) 星期四1-4节 [1-6 9-16] 设创学院暗房报告厅+IS215 任丽莎(10128),梁靖(12046) 星期四1-4节 [7-8] 设创学院暗房报告厅+IS215"
CDI130203,55011603,设计基础（2）,4,李咏絮(),"柳喆俊,杨文庆,宋善威,李咏絮","05046,91116,97744,99727","副教授,,,",专业基础课,中文,四平路校区,"2025(创新设计人才培养实验区 55003),2025(视觉传达设计(人工智能双学士学位) 55094),2025(艺术设计学 55099)",18,1,16,"杨文庆(91116),李咏絮(99727) 星期四1-4节 [5-8] 设创学院暗房报告厅+IS214 柳喆俊(05046),李咏絮(99727) 星期四1-4节 [9-16] 设创学院暗房报告厅+IS214 宋善威(97744),李咏絮(99727) 星期四1-4节 [1-4] 设创学院暗房报告厅+IS214"
CDI130202,55011602,设计基础（2）,4,忻颖(讲师),"忻颖,赵华森,陈逸云","03073,17527,20666043",",,null",专业基础课,中文,四平路校区,"2025(创新设计人才培养实验区 55003),2025(视觉传达设计(人工智能双学士学位) 55094),2025(艺术设计学 55099)",25,1,16,"忻颖(03073),陈逸云(20666043) 星期四1-4节 [9-16] 设创学院暗房报告厅+IS213 忻颖(03073) 星期四1-4节 [1-4] 设创学院暗房报告厅+IS213 忻颖(03073),赵华森(17527) 星期四1-4节 [5-8] 设创学院暗房报告厅+IS213"
CDI251101,55013101,三维动画,2,柳喆俊(),柳喆俊,05046,,专业选修课,中文,四平路校区,"2024(车辆工程(创新实验区) 19030),2024(工业设计 55024),2024(视觉传达设计 55034),2024(环境设计 55044),2024(产品设计 55054),2024(工业设计(车辆造型实验区) 55092),2024(视觉传达设计(人工智能双学士学位) 55094),2024(视觉传达设计(二学位) 55095)",39,1,16,柳喆俊(05046) 星期四9-10节 [1-16] 暗房
CDI001601,55013401,工匠文化,2,邹其昌(教授),邹其昌,16041,,人文经典与审美素养,中文,四平路校区,,4,1,16,邹其昌(16041) 星期三7-8节 [1-16] 南105
DPE110201,32000201,体育(2),2,,钟徐良,88755,,通识必修课,中文,四平路校区,"2025(理科试验班 00406),2025(应用化学(强基计划) 09002),2025(应用物理学(强基计划) 09005),2025(工科试验班(国豪精英班) 09006),2025(工科试验班(卓越计划班) 09101),2025(计算机科学与技术(图灵班) 10065),2025(德语(政治学与行政学双学士学位) 11052),2025(康复物理治疗 14056),2025(机械类(中外合作办学) 51001)",32,1,16,钟徐良(88755) 星期一1-2节 [1-16] 爱校路足球场1
DPE1102A4,320002A4,体育(2),2,,赵元,24127,,通识必修课,中文,四平路校区,"2025(海洋科学与技术(强基计划) 09057),2025(工科试验班(卓越计划班) 09101),2025(临床医学(5+3一体化) 14002),2025(工科试验班(信息与智能网联类) 19029),2025(中德智慧新能源车辆(创新实验区) 19033),2025(工科试验班(信息与智能网联类) 42017),2025(工科试验班(信息与智能网联类) 58010)",24,1,16,赵元(24127) 星期四3-4节 [1-16] 综合馆足球场1
DPE110272,32000272,体育(2),2,,秦海权,09102,,通识必修课,中文,四平路校区,"2025(工科试验班(智慧建造与低碳环境类) 03073),2025(工科试验班(智能化制造与新能源类) 04074),2025(工科试验班(卓越计划班) 09101),2025(医学试验班 14202),2025(工科试验班(信息与智能网联类) 42017),2025(创新设计人才培养实验区 55003),2025(艺术设计学 55099),2025(工科试验班(信息与智能网联类) 82002)",27,1,16,秦海权(09102) 星期三3-4节 [1-16] 游泳馆
DPE110237,32000237,体育(2),2,,陈景源,92168,,通识必修课,中文,四平路校区,"2025(理科试验班 00309),2025(运动训练 00802),2025(工科试验班(智能化制造与新能源类) 04074),2025(未来技术班 09049),2025(工科试验班(信息与智能网联类) 10077),2025(护理学 14044),2025(理科试验班 31026),2025(工科试验班(信息与智能网联类) 42017),2025(法学(英语双学士学位) 52015),2025(视觉传达设计(人工智能双学士学位) 55094),2025(工科试验班(信息与智能网联类) 82002)",30,1,16,陈景源(92168) 星期二1-2节 [1-16] 综合训练馆羽毛球馆
DPE1102D3,320002D3,体育(2),2,,汪立新,13164,,通识必修课,中文,四平路校区,"2025(建筑类 02019),2025(工科试验班(信息与智能网联类) 10077),2025(数智人文拔尖班 11060),2025(汉语言(经贸方向) 13014),2025(机械类(中外合作办学) 51001),2025(社会科学试验班 53017)",30,1,16,汪立新(13164) 星期五1-2节 [1-16] 乒乓房
DPE110218,32000218,体育(2),2,,李春华,09148,,通识必修课,中文,四平路校区,"2025(工科试验班(智能化制造与新能源类) 04074),2025(工科试验班(智慧建造与低碳环境类) 05039),2025(人文科学试验班 07915),2025(工科试验班(卓越计划班) 09101),2025(理科试验班 45097),2025(工科试验班(智能化制造与新能源类) 55004),2025(基础学科拔尖基地(物理学) 58004),2025(光电信息科学与工程(应用物理学双学士学位) 58006),2025(应用物理学(严济慈物理学英才班) 58014)",23,1,16,李春华(09148) 星期一3-4节 [1-16] 攀岩馆
DPE1102A3,320002A3,体育(2),2,,王敏杰,22209,,通识必修课,中文,四平路校区,"2025(海洋科学与技术(强基计划) 09057),2025(工科试验班(卓越计划班) 09101),2025(临床医学(5+3一体化) 14002),2025(工科试验班(信息与智能网联类) 19029),2025(中德智慧新能源车辆(创新实验区) 19033),2025(工科试验班(信息与智能网联类) 42017),2025(工科试验班(信息与智能网联类) 58010)",7,1,16,王敏杰(22209) 星期四3-4节 [1-16] 综合馆足球场2
DPE110271,32000271,体育(2),2,,李纪霞,12098,,通识必修课,中文,四平路校区,"2025(工科试验班(智慧建造与低碳环境类) 03073),2025(工科试验班(智能化制造与新能源类) 04074),2025(工科试验班(卓越计划班) 09101),2025(医学试验班 14202),2025(工科试验班(信息与智能网联类) 42017),2025(创新设计人才培养实验区 55003),2025(艺术设计学 55099),2025(工科试验班(信息与智能网联类) 82002)",28,1,16,李纪霞(12098) 星期三3-4节 [1-16] 拳操房
DPE110236,32000236,体育(2),2,,刘红,99080,,通识必修课,中文,四平路校区,"2025(理科试验班 00309),2025(运动训练 00802),2025(工科试验班(智能化制造与新能源类) 04074),2025(未来技术班 09049),2025(工科试验班(信息与智能网联类) 10077),2025(护理学 14044),2025(理科试验班 31026),2025(工科试验班(信息与智能网联类) 42017),2025(法学(英语双学士学位) 52015),2025(视觉传达设计(人工智能双学士学位) 55094),2025(工科试验班(信息与智能网联类) 82002)",28,1,16,刘红(99080) 星期二1-2节 [1-16] 游泳馆
DPE1102D2,320002D2,体育(2),2,,李纪霞,12098,,通识必修课,中文,四平路校区,"2025(建筑类 02019),2025(工科试验班(信息与智能网联类) 10077),2025(数智人文拔尖班 11060),2025(汉语言(经贸方向) 13014),2025(机械类(中外合作办学) 51001),2025(社会科学试验班 53017)",14,1,16,李纪霞(12098) 星期五1-2节 [1-16] 综合训练馆多功能房
DPE110217,32000217,体育(2),2,,李纪霞,12098,,通识必修课,中文,四平路校区,"2025(工科试验班(智能化制造与新能源类) 04074),2025(工科试验班(智慧建造与低碳环境类) 05039),2025(人文科学试验班 07915),2025(工科试验班(卓越计划班) 09101),2025(理科试验班 45097),2025(工科试验班(智能化制造与新能源类) 55004),2025(基础学科拔尖基地(物理学) 58004),2025(光电信息科学与工程(应用物理学双学士学位) 58006),2025(应用物理学(严济慈物理学英才班) 58014)",21,1,16,李纪霞(12098) 星期一3-4节 [1-16] 拳操房
DPE110235,32000235,体育(2),2,,秦海权,09102,,通识必修课,中文,四平路校区,"2025(理科试验班 00309),2025(运动训练 00802),2025(工科试验班(智能化制造与新能源类) 04074),2025(未来技术班 09049),2025(工科试验班(信息与智能网联类) 10077),2025(护理学 14044),2025(理科试验班 31026),2025(工科试验班(信息与智能网联类) 42017),2025(法学(英语双学士学位) 52015),2025(视觉传达设计(人工智能双学士学位) 55094),2025(工科试验班(信息与智能网联类) 82002)",32,1,16,秦海权(09102) 星期二1-2节 [1-16] 游泳馆
DPE1102D1,320002D1,体育(2),2,,黄少青,14134,,通识必修课,中文,四平路校区,"2025(会计学 01074),2025(建筑类 02019),2025(工科试验班(信息与智能网联类) 10077),2025(数智人文拔尖班 11060),2025(汉语言(经贸方向) 13014),2025(机械类(中外合作办学) 51001),2025(社会科学试验班 53017)",6,1,16,黄少青(14134) 星期五1-2节 [1-16] 拳操房
DPE110216,32000216,体育(2),2,,王欢,21139,,通识必修课,中文,四平路校区,"2025(工科试验班(智能化制造与新能源类) 04074),2025(工科试验班(智慧建造与低碳环境类) 05039),2025(人文科学试验班 07915),2025(工科试验班(卓越计划班) 09101),2025(临床医学(5+3一体化) 14002),2025(理科试验班 45097),2025(工科试验班(智能化制造与新能源类) 55004),2025(基础学科拔尖基地(物理学) 58004),2025(光电信息科学与工程(应用物理学双学士学位) 58006),2025(应用物理学(严济慈物理学英才班) 58014)",20,1,16,王欢(21139) 星期一3-4节 [1-16] 一·二九田径场
