新课程序号,课程名称,课程性质,校区,排课信息
CME354001,能源系统仿真技术（专创融合）,专业必修课,嘉定校区,赵清理(98786) 星期六1-2节 [1-16] 不排教室
CME354101,新能源利用系统及其碳核算,专业选修课,嘉定校区,赵清理(98786) 星期六3-4节 [1-16] 不排教室
CME362401,建筑环境与能源系统测试技术与设备,实践环节,嘉定校区,赵清理(98786) 星期六5-8节 [1-16] 不排教室
CME362501,能源环境基础课程设计,实践环节,嘉定校区,赵清理(98786) 星期四3-4节 [1-16] 不排教室
CME363601,能动类实验,实践环节,嘉定校区,臧建彬(98798) 星期五5-7节 [1-16] 学院机房
CCE261901,水文地质学实验,实践环节课程,四平路校区,"刘琦(09032),陈永贵(10028),杨阳(19022) 星期三9-10节 [1-8] 实验室"
CCE352101,隧道工程,专业选修课,四平路校区,李晓军(01127) 星期三5-6节 [1-4] 南408 周舒威(20523) 星期三5-6节 [5-8] 南408
,结构力学Ⅱ,专业基础课,四平路校区,吕凤悟(90031) 星期一1-2节 [1-8] 南410 吕凤悟(90031) 星期三3-4节 [1-8] 南410
,结构力学Ⅱ,专业基础课,四平路校区,Zeeshan Qaiser(22190) 星期一1-2节 [1-8] 北310 Zeeshan Qaiser(22190) 星期三3-4节 [1-8] 北310
,结构力学Ⅱ,专业基础课,四平路校区,丁泉顺(01102) 星期一1-2节 [1-8] 北319 丁泉顺(01102) 星期三3-4节 [1-8] 北319
,结构力学Ⅱ,专业基础课,四平路校区,孙利民(01129) 星期一1-2节 [1-8] 北312 孙利民(01129) 星期三3-4节 [1-8] 北312
,结构力学Ⅱ,专业基础课,四平路校区,陈素文(01028) 星期一1-2节 [1-8] 北311 陈素文(01028) 星期三3-4节 [1-8] 北311
,结构安全性设计概论,专业选修课,四平路校区,吴昊(17865) 星期四5-6节 [1-8] 南415
CCE091401,建设工程法规,社会发展与国际视野,四平路校区,肖伟芳(21070) 星期三7-8节 [1-16] 南221
CCE091402,建设工程法规,社会发展与国际视野,四平路校区,赵志鹏(23033) 星期四7-8节 [1-16] 南221
,建筑结构概念设计,专业必修课,四平路校区,陈俊岭(04200) 星期三3-4节 [1-8] 南310
,建筑结构概念设计,专业必修课,四平路校区,相阳(22132) 星期三3-4节 [1-8] 北314
,基坑工程设计与施工,专业必修课,四平路校区,木林隆(12076) 星期一7-8节 [1-16] 南417
,地质工程数值法,专业选修课,四平路校区,黄雨(99131) 星期一7-8节 [1-8] 南421
,桥梁工程,个性化课程,嘉定校区,沈殷(04192) 星期一5-6节 [1-3 10-16] 诚楼C408A 余华(99706) 星期一5-6节 [4-9] 诚楼C408A
CCE331504,土木工程施工基本原理,专业基础课,四平路校区,段珍华(16044) 星期一3-4节 [1-16] 南222 段珍华(16044) 星期三1-2节 [2-16双] 南219
CCE331503,土木工程施工基本原理,专业基础课,四平路校区,强旭红(14132) 星期一3-4节 [1-16] 南205 强旭红(14132) 星期三1-2节 [2-16双] 南205
CCE331502,土木工程施工基本原理,专业基础课,四平路校区,潘钻峰(13112) 星期一3-4节 [1-16] 南217 潘钻峰(13112) 星期三1-2节 [2-16双] 南217
CCE331501,土木工程施工基本原理,专业基础课,四平路校区,朱大宇(01025) 星期一3-4节 [1-16] 南220 朱大宇(01025) 星期三1-2节 [2-16双] 南220
,工程造价,专业基础课,四平路校区,倪艳春(17109) 星期一5-6节 [1-13 16] 南412
,工程造价,专业基础课,四平路校区,许碧莞(21045) 星期一5-6节 [1-13 16] 南415
,工程造价,专业基础课,四平路校区,胡晓依(91118) 星期一5-6节 [1-13 16] 南419
,工程造价,专业基础课,四平路校区,方成(14206) 星期一5-6节 [1-13 16] 南319
,工程造价,专业基础课,四平路校区,刘海(89504) 星期一5-6节 [1-13 16] 南410
,工程造价,专业基础课,四平路校区,金瑞珺(94438) 星期一5-6节 [1-13 16] 南322
CCE331701,有限单元法I,专业基础课,四平路校区,薛亚东(06043) 星期五1-2节 [9-16] 南422 蔡永昌(03021) 星期五1-2节 [1-8] 南422
CCE331703,有限单元法I,专业基础课,四平路校区,闫治国(07101) 星期五1-2节 [9-16] 南418 朱亚智(18622) 星期五1-2节 [1-8] 南418
CCE331702,有限单元法I,专业基础课,四平路校区,马如进(04175) 星期五1-2节 [1-8] 南419 潘子超(16032) 星期五1-2节 [9-16] 南419
CCE340602,地下建筑结构,专业必修课,四平路校区,张子新(96081) 星期一1-2节 [1-16] 南309
CCE340601,地下建筑结构,专业必修课,四平路校区,廖少明(91062) 星期一1-2节 [9-16] 南408 丁文其(97126) 星期一1-2节 [1-8] 南408
,岩土工程测试技术,专业必修课,四平路校区,李卫超(15017) 星期五1-2节 [1-8] 南421
,环境岩土工程,专业选修课,四平路校区,陈宏信(16020) 星期四7-8节 [1-7 9-16] 南407 冯世进(05198) 星期四7-8节 [8] 南407
,桥梁工程（上）,专业必修课,四平路校区,阮欣(05215) 星期二1-2节 [5-6 12] 北321 杨詠昕(02127) 星期二1-2节 [7-11] 北321 石雪飞(86071) 星期二1-2节 [1-4] 北321 石雪飞(86071) 星期四3-4节 [1-3] 北321 阮欣(05215) 星期四3-4节 [4-6 11-12] 北321 杨詠昕(02127) 星期四3-4节 [7-10] 北321
,桥涵水文,专业必修课,四平路校区,朱青(16040) 星期二3-4节 [9-16] 北321
,工程结构抗风,专业必修课,四平路校区,唐和生(02036) 星期四3-4节 [1-8] 南408
,工程结构抗火,专业选修课,四平路校区,余江滔(07087) 星期四5-6节 [9-16] 南419
,工程防灾经济学,专业选修课,四平路校区,吴昊(17865) 星期三7-8节 [1-3单 4-11] 南418 单伽锃(13092) 星期三7-8节 [2 12-16] 南418
CCE262104,结构体系与概念实验,实践环节课程,四平路校区,夏烨(14040) 星期四7-8节 [9-16] 实验室
CCE262101,结构体系与概念实验,实践环节课程,四平路校区,陈涛(08011) 星期一7-8节 [9-16] 实验室
CCE262103,结构体系与概念实验,实践环节课程,四平路校区,朱亚智(18622) 星期三7-8节 [9-16] 实验室
CCE262102,结构体系与概念实验,实践环节课程,四平路校区,罗金辉(14135) 星期三5-6节 [9-16] 实验室
CCE262105,结构体系与概念实验,实践环节课程,四平路校区,方根深(23181) 星期四5-6节 [9-16] 实验室
CCE362102,土木工程施工基本原理实验,实践环节课程,四平路校区,刘海(89504) 星期三9-10节 [1-15单] 实验室
CCE362101,土木工程施工基本原理实验,实践环节课程,四平路校区,朱大宇(01025) 星期一9-10节 [1-15单] 实验室
CCE362106,土木工程施工基本原理实验,实践环节课程,四平路校区,杨彬(09087) 星期三9-10节 [1-15单] 实验室
CCE362105,土木工程施工基本原理实验,实践环节课程,四平路校区,赵增丰(20148) 星期一9-10节 [1-15单] 实验室
CCE362104,土木工程施工基本原理实验,实践环节课程,四平路校区,段珍华(16044) 星期三9-10节 [1-15单] 实验室
CCE362103,土木工程施工基本原理实验,实践环节课程,四平路校区,强旭红(14132) 星期一9-10节 [1-15单] 实验室
CCE342001,地球物理勘探原理,专业基础课,四平路校区,汪发武(20016) 星期三3-4节 [1-16] 南208
,岩土工程灾害分析与防治,专业选修课,四平路校区,刘芳(09146) 星期日9-10节 [1-16] 不排教室
,组合结构I,专业选修课,四平路校区,贾良玖(15029) 星期四5-6节 [1-8] 南422
CCE350702,木结构,专业选修课,四平路校区,李征(15014) 星期三7-8节 [1-8] 南422
CCE350701,木结构,专业选修课,四平路校区,何敏娟(88055) 星期三7-8节 [1-8] 南421
,岩土动力学试验,实践环节课程,四平路校区,高彦斌(99039) 星期四7-8节 [2-16双] 实验室
,建筑力学,公共基础课,四平路校区,吴浩(19607) 星期三3-4节 [2-8] 北211 俞可权(21032) 星期三3-4节 [9-16] 北211 薛松涛(96069) 星期三3-4节 [1] 北211 俞可权(21032) 星期五3-4节 [9-16] 北211 吴浩(19607) 星期五3-4节 [2-8] 北211 薛松涛(96069) 星期五3-4节 [1] 北211
,工程地质分析原理,专业基础课,四平路校区,彭铭(13137) 星期二3-4节 [1-16] 南222
CCE090301,Python语言与工程计算,工程能力与创新思维,四平路校区,潘子超(16032) 星期三7-8节 [9-16] 学院机房 宋明明(22113) 星期三7-8节 [1-8] 学院机房
,工程造价上机,实践环节课程,四平路校区,方成(14206) 星期三5-6节 [14-15] 土木学院机房
,工程造价上机,实践环节课程,四平路校区,胡晓依(91118) 星期一5-6节 [14-15] 土木学院机房
,工程造价上机,实践环节课程,四平路校区,刘海(89504) 星期三5-6节 [14-15] 土木学院机房
,工程造价上机,实践环节课程,四平路校区,金瑞珺(94438) 星期一5-6节 [14-15] 土木学院机房
,工程造价上机,实践环节课程,四平路校区,倪艳春(17109) 星期三5-6节 [14-15] 土木学院机房
,工程造价上机,实践环节课程,四平路校区,许碧莞(21045) 星期一5-6节 [14-15] 土木学院机房
CCE230501,结构力学Ⅰ,专业基础课,四平路校区,吴宇清(04995) 星期三5-6节 [1-16] 南412 吴宇清(04995) 星期四1-2节 [1-16] 南412
,基础工程设计原理,个性化课程,嘉定校区,李镜培(89099) 星期日1-2节 [1-16] 不排教室
,钢与组合结构桥梁,专业必修课,四平路校区,徐晨(16045) 星期一1-2节 [11-13] 南320 苏庆田(03174) 星期一1-2节 [14-16] 南320 苏庆田(03174) 星期四1-2节 [14-16] 南405 徐晨(16045) 星期四1-2节 [11-13] 南405
,道路与铁道工程,专业必修课,四平路校区,杨轸(06128) 星期三7-8节 [1-13] 南419
,建筑混凝土结构设计,专业必修课,四平路校区,蒋欢军(99073) 星期三3-4节 [1-16] 南220
,建筑混凝土结构与砌体结构设计,专业必修课,四平路校区,林峰(05210) 星期二3-4节 [1-16] 南422 林峰(05210) 星期四3-4节 [1-15单] 南219
,建筑混凝土结构与砌体结构设计,专业必修课,四平路校区,刘威(01024) 星期二3-4节 [1-16] 南410 刘威(01024) 星期四3-4节 [1-15单] 南118
,地下空间规划与设计,专业必修课,四平路校区,彭芳乐(90024) 星期一7-8节 [7-16] 南418 谭勇(09113) 星期一7-8节 [1-6] 南418
,地下混凝土结构设计,专业必修课,四平路校区,陈之毅(07059) 星期二3-4节 [5-8] 南420 柳献(07023) 星期二3-4节 [1-4] 南420 陈之毅(07059) 星期四3-4节 [5-8] 南420 柳献(07023) 星期四3-4节 [1-4] 南420
CCE351401,薄壁杆件力学,专业选修课,四平路校区,周锋(09160) 星期三3-4节 [9-16] 北320
CCE352001,结构稳定性和极限荷载,个性化课程,嘉定校区,朱劭骏(22131) 星期日3-4节 [1-16] 不排教室
,桥梁动力学概论,专业选修课,四平路校区,孙智(05031) 星期四7-8节 [1-8] 南422
,桥梁结构数值分析,专业选修课,四平路校区,孙斌(01026) 星期一7-8节 [1-12] 南419
,桥梁测试理论与技术,专业选修课,四平路校区,季云峰(08105) 星期三3-4节 [1-12] 北317
,轨道交通桥梁,专业选修课,四平路校区,李奇(08120) 星期四5-6节 [1-8] 南416
CCE340401,建筑结构设计,专业必修课,四平路校区,李元齐(01005) 星期二1-2节 [1-8] 南220 宁超列(17030) 星期二1-2节 [9-16] 南220 宁超列(17030) 星期四3-4节 [9-16] 南220 李元齐(01005) 星期四3-4节 [1-8] 南220
CCE231601,结构力学（Z2）,专业基础课,四平路校区,张伟平(00008) 星期一1-2节 [1-8] 北321 张伟平(00008) 星期三1-2节 [1-8] 北321
CCE092302,数据量化推理,工程能力与创新思维,嘉定校区,宋明明(22113) 星期五9-10节 [2-3 14] 安楼A107 操金鑫(12223) 星期五9-10节 [6-7 15] 安楼A107 夏烨(14040) 星期五9-10节 [1 9-11单 16] 安楼A107 徐骁青(21030) 星期五9-10节 [12-13] 安楼A107 白植舟(10003) 星期五9-10节 [4-5] 安楼A107 曹曙阳(08139) 星期五9-10节 [8-10双] 安楼A107
CCE092301,数据量化推理,工程能力与创新思维,四平路校区,徐骁青(21030) 星期四9-10节 [12-13] 南215 操金鑫(12223) 星期四9-10节 [6-7 15] 南215 宋明明(22113) 星期四9-10节 [2-3 14] 南215 夏烨(14040) 星期四9-10节 [1 9-11单 16] 南215 曹曙阳(08139) 星期四9-10节 [8-10双] 南215 白植舟(10003) 星期四9-10节 [4-5] 南215
CCE091501,科学发展史与科技人文,工程能力与创新思维,四平路校区,陈建兵(02068) 星期四7-8节 [1 7] 南319 艾晓秋(05216) 星期四7-8节 [6-8双] 南319 彭勇波(09168) 星期四7-8节 [2-5] 南319
CCE332301,土木工程施工基本原理,专业基础课,四平路校区,朱大宇(01025) 星期二3-4节 [1-16] 南220
CCE350501,土建基础与工程结构,专业基础课,四平路校区,陈隽(99130) 星期一3-4节 [7-12] 北222 张自立(22160) 星期一3-4节 [1-6] 北222 张自立(22160) 星期四3-4节 [1-6] 北222 陈隽(99130) 星期四3-4节 [7-12] 北222
,土动力学,专业选修课,四平路校区,高彦斌(99039) 星期四5-6节 [1-8] 南410
CCE090601,地质灾害机理与防治,工程能力与创新思维,四平路校区,李星月(22500) 星期三9-10节 [1-16] 南221
CCE090701,风工程概论,工程能力与创新思维,四平路校区,曹曙阳(08139) 星期三7-8节 [4-5] 南321 黄鹏(01059) 星期三7-8节 [1 6-8] 南321 全涌(07168) 星期三7-8节 [2-3] 南321
,工程项目管理,专业选修课,四平路校区,卢昱杰(18096) 星期日7-8节 [1-16] 不排教室
CCE330302,土力学与基础工程,专业选修课,嘉定校区,钱建固(03138) 星期日5-6节 [1-16] 不排教室
CCE330301,土力学与基础工程,专业基础课,四平路校区,木林隆(12076) 星期一5-6节 [9-16] 南220 时振昊(19613) 星期一5-6节 [1-8] 南220 时振昊(19613) 星期五1-2节 [1-8] 南220 木林隆(12076) 星期五1-2节 [9-16] 南220
CCE090501,城市水务概论,社会发展与国际视野,四平路校区,娄厦(13187) 星期四7-8节 [1-16] 南309
,工程结构抗震,专业必修课,四平路校区,周颖(06080) 星期二3-4节 [1-16] 北320
CCE240101,建筑结构,专业基础课,四平路校区,张盛东(89419) 星期二1-2节 [1-16] 南210 张盛东(89419) 星期五1-2节 [1-15单] 南210
CCE240103,建筑结构,专业基础课,四平路校区,杨彬(09087) 星期二3-4节 [1-8] 南309 朱鹏(11004) 星期二3-4节 [9-16] 南309 杨彬(09087) 星期四3-4节 [1-7单] 南319 朱鹏(11004) 星期四3-4节 [9-15单] 南319
CCE240102,建筑结构,专业基础课,四平路校区,蒋首超(01086) 星期二1-2节 [1-16] 南222 蒋首超(01086) 星期五1-2节 [1-15单] 南222
CCE361301,土力学实验,实践环节课程,四平路校区,曹培(18034) 星期四9-10节 [14-16双] 实验室 杨阳(19022) 星期四9-10节 [10-12双] 实验室 张晓磊(19050) 星期四9-10节 [6-8双] 实验室
CCE262001,工程地质实验,实践环节课程,四平路校区,刘琦(09032) 星期一5-6节 [9-16] 实验室
CCE262002,工程地质实验,实践环节课程,四平路校区,俞松波(14006) 星期四7-8节 [9-16] 实验室
,建筑结构优化设计原理,专业选修课,四平路校区,丁陶(18607) 星期四1-2节 [1-8] 南405
,建筑钢结构设计,专业必修课,四平路校区,郭小农(06162) 星期二1-2节 [1-16] 南317
,建筑钢结构设计,专业必修课,四平路校区,沈之容(92512) 星期二1-2节 [2-16] 北322 张其林(88059) 星期二1-2节 [1] 北322
CCE230807,工程地质,专业基础课,四平路校区,李博(21092) 星期一1-2节 [9-16] 南109 李博(21092) 星期三3-4节 [9-16] 南310
CCE230806,工程地质,专业基础课,四平路校区,黄雨(99131) 星期一1-2节 [9-16] 北311 黄雨(99131) 星期三3-4节 [9-16] 北311
CCE230801,工程地质,专业基础课,四平路校区,石振明(94026) 星期一1-2节 [9-16] 北321 石振明(94026) 星期三3-4节 [9-16] 北321
CCE230805,工程地质,专业基础课,四平路校区,张清照(16018) 星期一1-2节 [9-16] 北312 张清照(16018) 星期三3-4节 [9-16] 北312
CCE230804,工程地质,专业基础课,四平路校区,邢皓枫(06055) 星期一1-2节 [9-16] 北319 邢皓枫(06055) 星期三3-4节 [9-16] 北319
CCE230803,工程地质,专业基础课,四平路校区,毛无卫(17113) 星期一1-2节 [9-16] 北310 毛无卫(17113) 星期三1-2节 [9-16] 北321
CCE230802,工程地质,专业基础课,四平路校区,陈永贵(10028) 星期一1-2节 [9-16] 南410 陈永贵(10028) 星期三3-4节 [9-16] 南410
,砌体结构,专业选修课,四平路校区,和留生(16025) 星期三5-6节 [9-16] 北322
,岩体力学,专业选修课,四平路校区,张清照(16018) 星期三7-8节 [1-16] 南416
CCE250201,结构力学,专业选修课,嘉定校区,李建新(88089) 星期六1-2节 [1-16] 不排教室
CCE090101,Auto CAD工程制图,工程能力与创新思维,四平路校区,徐骁青(21030) 星期一7-8节 [1-3 14-16] 土木学院机房 徐俊(07196) 星期一7-8节 [13] 土木学院机房 张博珊(19633) 星期一7-8节 [4-12] 土木学院机房
CCE460611,毕业设计（论文）,实践环节课程,四平路校区,张兰芳(01027) 星期六1-2节 [1-16] 学院教室
CCE460610,毕业设计（论文）,实践环节课程,四平路校区,张兰芳(01027) 星期六3-4节 [1-16] 学院教室
CCE460609,毕业设计（论文）,实践环节课程,四平路校区,鲁正(11080) 星期六3-4节 [1-16] 学院教室
CCE460608,毕业设计（论文）,实践环节课程,四平路校区,操金鑫(12223) 星期六3-4节 [1-16] 学院教室
CCE460607,毕业设计（论文）,实践环节课程,四平路校区,陈宏信(16020) 星期六3-4节 [1-16] 学院教室
CCE460606,毕业设计（论文）,实践环节课程,四平路校区,李晓军(01127) 星期六3-4节 [1-16] 学院教室
CCE460605,毕业设计（论文）,实践环节课程,四平路校区,芮易(21059) 星期六3-4节 [1-16] 学院教室
CCE460604,毕业设计（论文）,实践环节课程,四平路校区,王彦博(17112) 星期六3-4节 [1-16] 学院教室
CCE460603,毕业设计（论文）,实践环节课程,四平路校区,阮欣(05215) 星期六3-4节 [1-16] 学院教室
CCE460602,毕业设计（论文）,实践环节课程,四平路校区,李星月(22500) 星期六3-4节 [1-16] 学院教室
CCE460601,毕业设计（论文）,实践环节课程,四平路校区,张洪(16008) 星期六3-4节 [1-16] 学院教室
CCE250301,工程地质,专业选修课,嘉定校区,叶斌(09079) 星期四3-4节 [1-16] 诚楼C409
CCE231301,构造地质,专业基础课,四平路校区,郭桢(19059) 星期三3-4节 [1-8] 北320 郭桢(19059) 星期五1-2节 [1-8] 北320
CCE231401,水文地质学,专业基础课,四平路校区,陈永贵(10028) 星期一1-2节 [1-8] 南320 陈永贵(10028) 星期四3-4节 [1-8] 南320
CCE261701,构造地质课程设计,实践环节课程,四平路校区,郭桢(19059) 星期五1-2节 [9-16] 南421
,土工合成材料,专业选修课,四平路校区,任非凡(10020) 星期日5-6节 [1-16] 不排教室
CCE332001,地下水动力学(全英语),专业基础课,四平路校区,俞松波(14006) 星期四3-4节 [9] 南308 王琼(17523) 星期四3-4节 [10-16] 南308 叶为民(88042) 星期四3-4节 [1-8] 南308
CCE370201,智慧土木中的数学问题,个性化课程,四平路校区,孔庆钊(19028) 星期一1-2节 [13-16] 南418 赵志鹏(23033) 星期一1-2节 [7-12] 南418 吴浩(19607) 星期一1-2节 [1-6] 南418 赵志鹏(23033) 星期三7-8节 [8-12双] 南407 吴浩(19607) 星期三7-8节 [2-6双] 南407 孔庆钊(19028) 星期三7-8节 [14-16双] 南407
CCE370202,智慧土木中的数学问题,个性化课程,嘉定校区,孔庆钊(19028) 星期六7-8节 [1-16] 不排教室
CCE331407,基础工程设计原理,专业基础课,四平路校区,赵春风(89031) 星期五3-4节 [8] 南409 陈宏信(16020) 星期五3-4节 [1-7 9-16] 南409
CCE331406,基础工程设计原理,专业基础课,四平路校区,李卫超(15017) 星期五3-4节 [1-16] 南417
CCE331405,基础工程设计原理,专业基础课,四平路校区,艾智勇(00077) 星期五3-4节 [1-16] 南415
CCE331404,基础工程设计原理,专业基础课,四平路校区,赵程(09184) 星期五3-4节 [1-16] 南416
CCE331403,基础工程设计原理,专业基础课,四平路校区,贾敏才(03179) 星期五3-4节 [1-16] 南418
CCE331402,基础工程设计原理,专业基础课,四平路校区,梁发云(04081) 星期五3-4节 [1-16] 南419
CCE331401,基础工程设计原理,专业基础课,四平路校区,王琛(19608) 星期五3-4节 [5-16] 南421 李镜培(89099) 星期五3-4节 [1-4] 南421
CCE342101,工程地质勘察,专业必修课,四平路校区,徐超(91060) 星期一1-2节 [1-16] 南314 徐超(91060) 星期三7-8节 [1-15单] 南322
CCE350801,人行桥设计与分析,专业选修课,四平路校区,阮欣(05215) 星期三5-6节 [1-8] 南421
,防灾韧性结构,专业必修课,四平路校区,蒋欢军(99073) 星期二1-2节 [1-6] 南410 和留生(16025) 星期二1-2节 [7-11] 南410 蒋欢军(99073) 星期四3-4节 [1-6] 南410 和留生(16025) 星期四3-4节 [7-11] 南410
,工程与生态水文学,专业必修课,四平路校区,刘曙光(01008) 星期二3-4节 [1] 北319 周正正(19058) 星期二3-4节 [2-8] 北319 代朝猛(14027) 星期二3-4节 [9-16] 北319
,水信息感知、量测与分析,专业必修课,四平路校区,蔡奕(10135) 星期三5-6节 [1-16] 南311
,生态航道治理,专业必修课,四平路校区,娄厦(13187) 星期二1-2节 [1-8] 北317 张洪(16008) 星期二1-2节 [9-16] 北317
,城市智慧水务,专业选修课,四平路校区,娄厦(13187) 星期三7-8节 [1-8] 南417
,流体智能仿真与可视化技术,专业选修课,四平路校区,付小莉(13180) 星期三3-4节 [1-8] 南420
CCE341201,土木工程结构,专业必修课,四平路校区,梁发云(04081) 星期四3-4节 [10-13] 南318 张冬梅(03062) 星期四3-4节 [1 14-16] 南318 郭小农(06162) 星期四3-4节 [2-5] 南318 管仲国(06121) 星期四3-4节 [6-9] 南318
,土木信息采集与处理,专业必修课,四平路校区,周鸣亮(23015) 星期二3-4节 [7-16] 北317 张东明(16022) 星期二3-4节 [1-6] 北317
CCE341301,软件工程,专业必修课,四平路校区,曾昆(23524) 星期三3-4节 [1-16] 南209
,土木工程机器人原理及应用,专业选修课,四平路校区,李安虎(07088) 星期四5-6节 [1-4] 北317 孔庆钊(19028) 星期四5-6节 [5-16] 北317
CCE332801,工程结构基本原理IV,专业基础课,四平路校区,阮欣(05215) 星期一3-4节 [1-15] 南419 陈艾荣(95095) 星期一3-4节 [16] 南419 阮欣(05215) 星期三1-2节 [1-15] 南419 陈艾荣(95095) 星期三1-2节 [16] 南419
CCE120402,工程图学I,公共基础课,四平路校区,项平(16021) 星期五1-2节 [1-16] 南315
CCE120406,工程图学I,公共基础课,四平路校区,江佳斐(13083) 星期五1-2节 [1-16] 南305
CCE120405,工程图学I,公共基础课,四平路校区,李龙(23095) 星期五1-2节 [1-16] 南310
CCE120404,工程图学I,公共基础课,四平路校区,陈林(16503) 星期五1-2节 [1-16] 南314
CCE120401,工程图学I,公共基础课,四平路校区,吴杰(03206) 星期五1-2节 [1-16] 南322
CCE120801,高等数学（B）下（英）,公共基础课,四平路校区,Edmond V. Muho(24094) 星期一1-2节 [1-16] 南422 Edmond V. Muho(24094) 星期三3-4节 [1-16] 南422 Edmond V. Muho(24094) 星期五3-4节 [1-15单] 南422
CCE220701,概率论与数理统计（英）,公共基础课,四平路校区,周正正(19058) 星期二1-2节 [1-16] 北319 周正正(19058) 星期四3-4节 [1-15单] 北319
CCE231801,流体力学C（英）,专业基础课,四平路校区,操金鑫(12223) 星期一7-8节 [1-8] 南420 陈林(16503) 星期一7-8节 [9-16] 南420
CCE130801,工程力学I（英）,专业基础课,四平路校区,沈贤达(23126) 星期一3-4节 [1-16] 南207 沈贤达(23126) 星期三5-6节 [2-16双] 南422 沈贤达(23126) 星期四3-4节 [1-16] 南422
CCE220401,人工智能算法,公共基础课,四平路校区,郑虎(19513) 星期一7-8节 [1-16] 南416
CCE091601,绿色岩土工程系统：建设与感知,工程能力与创新思维,四平路校区,"刘芳(09146),陈筝(13156),李卫超(15017),许晓青(17116) 星期四7-8节 [16] 南320 刘芳(09146) 星期四7-8节 [1-3单 4-6双 7-8 13-15单] 南320 陈筝(13156) 星期四7-8节 [5 14] 南320 许晓青(17116) 星期四7-8节 [2 12] 南320 李卫超(15017) 星期四7-8节 [9-11] 南320"
,感知系统（初级项目二）,实践环节课程,四平路校区,潘玥(20019) 星期一1-4节 [5-10] 南421 曾昆(23524) 星期一1-4节 [1-4 11-16] 南421 曾昆(23524) 星期四5-8节 [1-4 11-16] 南421 潘玥(20019) 星期四5-8节 [5-10] 南421
CCE091101,工程系统分析,工程能力与创新思维,四平路校区,孙智(05031) 星期三7-8节 [1-16] 南308
CCE120701,人工智能科学与技术(领),公共基础课,四平路校区,任晓丹(11061) 星期三5-6节 [1-16] 南322
CCE130701,工程力学,专业基础课,四平路校区,蔡永昌(03021) 星期一3-4节 [1-16] 南322 蔡永昌(03021) 星期三1-2节 [1-15单] 南322 蔡永昌(03021) 星期五5-6节 [1-16] 南322
CCE460201,工程智能基础项目I 机器学习,实践环节课程,四平路校区,王晓伟(22115) 星期五1-4节 [1-16] 南207
CEM350101,房地产金融,专业选修课,四平路校区,李元宸(21028) 星期一5-6节 [9-16] 北109 唐代中(08078) 星期一5-6节 [1-8] 北109
CEM350201,操作系统,专业选修课,四平路校区,朱茂然(95427) 星期一1-2节 [1-16] 北208
CEM350301,工程质量管理,专业选修课,四平路校区,王旭育(99033) 星期一3-4节 [1-16] 北310
CEM350501,公共关系学,专业选修课,四平路校区,刘艳玲(04120) 星期一1-2节 [1-16] 北216
CEM130101,会计学,专业基础课,四平路校区,张延洁(94767) 星期三5-6节 [1-16] 南208 张延洁(94767) 星期五1-2节 [1-15单] 南208
CEM130104,会计学,专业基础课,四平路校区,许勤(00084) 星期一3-4节 [2-16双] 南305 许勤(00084) 星期二1-2节 [1-16] 南405
CEM130103,会计学,专业基础课,四平路校区,张瑶(12216) 星期一5-6节 [1-16] 南309 张瑶(12216) 星期三3-4节 [1-15单] 南309
CEM130102,会计学,专业基础课,四平路校区,何德宏(94768) 星期一5-6节 [1-16] 南305 何德宏(94768) 星期三3-4节 [1-15单] 南305
CEM350701,国际贸易法,专业选修课,四平路校区,李建忠(00104) 星期一1-2节 [1-16] 南321
CEM240201,房屋建筑学,专业必修课,四平路校区,张宗彝(94097) 星期五1-2节 [1-16] 南308
CEM240301,房地产开发与管理,专业必修课,四平路校区,唐代中(08078) 星期五5-6节 [1-16] 南207
CEM340401,采购管理,专业必修课,四平路校区,杜学美(04066) 星期三5-6节 [1-16] 北308
CEM350801,财务经济分析,专业选修课,四平路校区,佟爱琴(96839) 星期三7-8节 [1-16] 南415
CEM240401,高级财务会计,专业必修课,四平路校区,白云霞(04145) 星期二3-4节 [1-15单] 北108 白云霞(04145) 星期四1-2节 [1-16] 北108
CEM340601,战略管理,专业必修课,四平路校区,苏涛永(08050) 星期三3-4节 [1-16] 南205
CEM230401,应用统计,专业基础课,四平路校区,张建同(01033) 星期三1-2节 [1-16] 北208
CEM230407,应用统计,专业基础课,四平路校区,段永瑞(04088) 星期五1-2节 [1-16] 南405
CEM230406,应用统计,专业基础课,四平路校区,张建军(08103) 星期五7-8节 [1-16] 南305
CEM230405,应用统计,专业基础课,四平路校区,王世进(09066) 星期二1-2节 [1-16] 南221
CEM230404,应用统计,专业基础课,四平路校区,张真真(21038) 星期二1-2节 [1-16] 北209
CEM230402,应用统计,专业基础课,四平路校区,刘明(10088) 星期三1-2节 [1-16] 北312
CEM230403,应用统计,专业选修课,四平路校区,胡一竑(09111) 星期五1-2节 [1-16] 南309
CEM340701,工程合同管理,专业必修课,四平路校区,高显义(95029) 星期一5-6节 [1-16] 北308
CEM250201,建筑经济学,专业选修课,四平路校区,孙继德(92035) 星期一7-8节 [1-16] 南322
CEM351103,质量管理,专业选修课,四平路校区,尤建新(84063) 星期三1-2节 [7-9] 北307 刘虎沉(19534) 星期三1-2节 [1-6 10-16] 北307
CEM351102,质量管理,专业选修课,四平路校区,周文泳(00024) 星期二1-2节 [1-16] 北307
