新课程序号,课程名称,课程性质,校区,排课信息
CAM466101,毕业论文,实践环节课程,四平路校区,"饶丹云(08107),董逸(08164),魏亮(09132),钱正(10118),于智毅(13124),王芳(22174) 星期六9-10节 [1-16] 学院安排"
CAM137701,视唱练耳2,专业基础课,四平路校区,卡得丽娅·库尔班(20165) 星期一3-4节 [1-16] 三教602 卡得丽娅·库尔班(20165) 星期三5-6节 [1-16] 三教602
CAM257701,视唱练耳4,专业选修课,四平路校区,卡得丽娅·库尔班(20165) 星期一5-6节 [1-16] 三教602 卡得丽娅·库尔班(20165) 星期三7-8节 [1-16] 三教602
CAM157701,钢琴2,专业选修课,四平路校区,齐欢(08001) 星期四9-9节 [1-16] 三教619
CAM157705,钢琴2,专业选修课,四平路校区,王夕岚(09142) 星期四6-6节 [1-16] 三教617
CAM157704,钢琴2,专业选修课,四平路校区,隋歆(09143) 星期四9-9节 [1-16] 三教615
CAM157703,钢琴2,专业选修课,四平路校区,隋歆(09143) 星期三7-7节 [1-16] 三教619
CAM157702,钢琴2,专业选修课,四平路校区,张弛(01111) 星期三4-4节 [1-16] 三教617
CAM147705,独唱2,专业必修课,四平路校区,文翔浩(2400904) 星期四5-6节 [1-16] 三教621
CAM147704,独唱2,专业必修课,四平路校区,XIAOHONGWANG(1400691) 星期三3-3节 [1-16] 三教621 XIAOHONGWANG(1400691) 星期五1-1节 [1-16] 三教621
CAM147703,独唱2,专业必修课,四平路校区,王伊达(13093) 星期三8-8节 [1-16] 三教623 王伊达(13093) 星期四6-6节 [1-16] 三教623
CAM147702,独唱2,专业必修课,四平路校区,王伊达(13093) 星期三7-7节 [1-16] 三教623 王伊达(13093) 星期四5-5节 [1-16] 三教623
CAM147701,独唱2,专业必修课,四平路校区,李巍(14212) 星期三4-4节 [1-16] 三教613 李巍(14212) 星期四5-5节 [1-16] 三教613
CAM147706,独唱2,专业必修课,四平路校区,严静怡(2100570) 星期三10-10节 [1-16] 周三三教621，周五三教625 严静怡(2100570) 星期五8-8节 [1-16] 周三三教621，周五三教625
CAM247712,独唱4,专业必修课,四平路校区,严静怡(2100570) 星期三9-9节 [1-16] 周三三教621，周五三教625 严静怡(2100570) 星期五7-7节 [1-16] 周三三教621，周五三教625
CAM247711,独唱4,专业必修课,四平路校区,严静怡(2100570) 星期三6-6节 [1-16] 周三三教611，周五三教625 严静怡(2100570) 星期五4-4节 [1-16] 周三三教611，周五三教625
CAM247710,独唱4,专业必修课,四平路校区,严静怡(2100570) 星期三5-5节 [1-16] 周三三教611，周五三教625 严静怡(2100570) 星期五3-3节 [1-16] 周三三教611，周五三教625
CAM247709,独唱4,专业必修课,四平路校区,文翔浩(2400904) 星期四4-4节 [1-16] 周四三教621，周五三教623 文翔浩(2400904) 星期五3-3节 [1-16] 周四三教621，周五三教623
CAM247708,独唱4,专业必修课,四平路校区,文翔浩(2400904) 星期四3-3节 [1-16] 周四三教621，周五三教623 文翔浩(2400904) 星期五4-4节 [1-16] 周四三教621，周五三教623
CAM247707,独唱4,专业必修课,四平路校区,XIAOHONGWANG(1400691) 星期三6-6节 [1-16] 三教621 XIAOHONGWANG(1400691) 星期五4-4节 [1-16] 三教621
CAM247706,独唱4,专业必修课,四平路校区,XIAOHONGWANG(1400691) 星期三5-5节 [1-16] 三教621 XIAOHONGWANG(1400691) 星期五3-3节 [1-16] 三教621
CAM247705,独唱4,专业必修课,四平路校区,王伊达(13093) 星期三6-6节 [1-16] 三教623 王伊达(13093) 星期四8-8节 [1-16] 三教623
CAM247704,独唱4,专业必修课,四平路校区,王伊达(13093) 星期三5-5节 [1-16] 三教623 王伊达(13093) 星期四3-3节 [1-16] 三教623
CAM247703,独唱4,专业必修课,四平路校区,王伊达(13093) 星期三4-4节 [1-16] 三教623 王伊达(13093) 星期四4-4节 [1-16] 三教623
CAM247702,独唱4,专业必修课,四平路校区,李巍(14212) 星期三5-5节 [1-16] 三教613 李巍(14212) 星期四7-7节 [1-16] 三教613
CAM247701,独唱4,专业必修课,四平路校区,李巍(14212) 星期三6-6节 [1-16] 三教613 李巍(14212) 星期四6-6节 [1-16] 三教613
CAM347704,独唱6,专业必修课,四平路校区,XIAOHONGWANG(1400691) 星期三1-1节 [1-16] 三教621 XIAOHONGWANG(1400691) 星期五5-5节 [1-16] 三教621
CAM347703,独唱6,专业必修课,四平路校区,王伊达(13093) 星期三3-3节 [1-16] 三教623 王伊达(13093) 星期四7-7节 [1-16] 三教623
CAM347702,独唱6,专业必修课,四平路校区,李巍(14212) 星期三8-8节 [1-16] 三教613 李巍(14212) 星期四3-3节 [1-16] 三教613
CAM347701,独唱6,专业必修课,四平路校区,李巍(14212) 星期三7-7节 [1-16] 三教613 李巍(14212) 星期四4-4节 [1-16] 三教613
CAM347709,独唱6,专业必修课,四平路校区,严静怡(2100570) 星期三8-8节 [1-16] 周三三教611，周五三教625 严静怡(2100570) 星期五6-6节 [1-16] 周三三教611，周五三教625
CAM347708,独唱6,专业必修课,四平路校区,严静怡(2100570) 星期三7-7节 [1-16] 周三三教611，周五三教625 严静怡(2100570) 星期五5-5节 [1-16] 周三三教611，周五三教625
CAM347707,独唱6,专业必修课,四平路校区,文翔浩(2400904) 星期四8-8节 [1-16] 周四三教621，周五三教623 文翔浩(2400904) 星期五5-5节 [1-16] 周四三教621，周五三教623
CAM347706,独唱6,专业必修课,四平路校区,文翔浩(2400904) 星期四7-7节 [1-16] 周四三教621，周五三教623 文翔浩(2400904) 星期五6-6节 [1-16] 周四三教621，周五三教623
CAM347705,独唱6,专业必修课,四平路校区,XIAOHONGWANG(1400691) 星期三2-2节 [1-16] 三教621 XIAOHONGWANG(1400691) 星期五6-6节 [1-16] 三教621
